"tip_state","rates","alpha","sigma.sq","theta","expected_mean","expected_var"
"Erect",0.544079042737342,3.75133285661573e-08,26.223562557552,91.2210351333602,91.2238776900504,69.3147016140526
"Nodding",0.497822908485586,3.75133285661573e-08,26.223562557552,91.2264579395854,91.2238776769367,69.3147016139751
