species,temperature
ambiguus,34.09714181
balsensis,19.65494465
barbatus,23.42360782
catalinae,25.197999
cernuus,19.89699952
clavatus,29.76200008
concolor,28.89038557
dunnii,24.63599968
exilis,20.56666678
flexuosus,22.2373333
fuscus,22.30292668
ghiesbreghtii,20.85869392
hartwegii,25.93976436
kennedyi,33.86799961
marcellae,23.25868735
mendozae,24.02971513
nigrescens,20.49186662
occidentalis,22.03969178
ownbeyi,26.66513338
palmeri,29.24445724
pringlei,19.7519355
purpureus,24.70971177
spatulatus,24.28387626
splendens,24.69372125
venustulus,26.80564699
weedii_weedii,26.0179327
