"species","longitude","latitude","geometry"
"flexuosus",-112.50388,37.03301,"POINT (-112.5039 37.03301)"
"flexuosus",-114.01883,37.10133,"POINT (-114.0188 37.10133)"
"flexuosus",-114.14546,36.52286,"POINT (-114.1455 36.52286)"
"flexuosus",-114.25752,37.06661,"POINT (-114.2575 37.06661)"
"flexuosus",-112.69663,37.98243,"POINT (-112.6966 37.98243)"
"flexuosus",-114.42865,36.62766,"POINT (-114.4287 36.62766)"
"flexuosus",-113.23306,36.18003,"POINT (-113.2331 36.18003)"
"flexuosus",-113.049,37.6673,"POINT (-113.049 37.6673)"
"flexuosus",-113.74717,37.35358,"POINT (-113.7472 37.35358)"
"flexuosus",-113.81266,37.21366,"POINT (-113.8127 37.21366)"
"flexuosus",-112.84609,36.87925,"POINT (-112.8461 36.87925)"
"flexuosus",-113.6775,37.14483,"POINT (-113.6775 37.14483)"
"flexuosus",-113.89875,38.55092,"POINT (-113.8988 38.55092)"
"flexuosus",-114.20426,36.57621,"POINT (-114.2043 36.57621)"
"flexuosus",-109.1075,36.98833,"POINT (-109.1075 36.98833)"
"flexuosus",-115.28819,37.69469,"POINT (-115.2882 37.69469)"
"flexuosus",-114.15671,36.5283,"POINT (-114.1567 36.5283)"
"flexuosus",-114.02306,37.08923,"POINT (-114.0231 37.08923)"
"flexuosus",-113.86666,36.36305,"POINT (-113.8667 36.36305)"
"flexuosus",-114.64638,38.13116,"POINT (-114.6464 38.13116)"
"flexuosus",-114.22843,36.77475,"POINT (-114.2284 36.77475)"
"flexuosus",-111.96516,36.92533,"POINT (-111.9652 36.92533)"
"flexuosus",-111.67633,36.80283,"POINT (-111.6763 36.80283)"
"flexuosus",-108.939476,38.184367,"POINT (-108.9395 38.18437)"
"flexuosus",-116.722711,36.894553,"POINT (-116.7227 36.89455)"
"flexuosus",-113.110978,36.760783,"POINT (-113.111 36.76078)"
"flexuosus",-113.228762,37.45562,"POINT (-113.2288 37.45562)"
"flexuosus",-111.919047,34.797343,"POINT (-111.919 34.79734)"
"flexuosus",-111.114472,33.645383,"POINT (-111.1145 33.64538)"
"flexuosus",-112.374789,34.991003,"POINT (-112.3748 34.991)"
"flexuosus",-111.795137,34.843192,"POINT (-111.7951 34.84319)"
"flexuosus",-116.877192,36.974008,"POINT (-116.8772 36.97401)"
"flexuosus",-116.717497,36.891511,"POINT (-116.7175 36.89151)"
"flexuosus",-111.114355,33.645464,"POINT (-111.1144 33.64546)"
"flexuosus",-111.769478,34.813366,"POINT (-111.7695 34.81337)"
"flexuosus",-111.706825,34.676678,"POINT (-111.7068 34.67668)"
"flexuosus",-116.529558,38.163391,"POINT (-116.5296 38.16339)"
"flexuosus",-111.752585,34.6477,"POINT (-111.7526 34.6477)"
"flexuosus",-113.228783,37.45553,"POINT (-113.2288 37.45553)"
"flexuosus",-111.894528,34.830027,"POINT (-111.8945 34.83003)"
"flexuosus",-116.094734,36.45153,"POINT (-116.0947 36.45153)"
"flexuosus",-115.431237,36.148697,"POINT (-115.4312 36.1487)"
"flexuosus",-111.706817,34.676658,"POINT (-111.7068 34.67666)"
"flexuosus",-110.086564,36.957822,"POINT (-110.0866 36.95782)"
"flexuosus",-112.350212,37.021031,"POINT (-112.3502 37.02103)"
"flexuosus",-111.793877,34.872563,"POINT (-111.7939 34.87256)"
"flexuosus",-115.48803,36.124528,"POINT (-115.488 36.12453)"
"flexuosus",-116.763428,37.026069,"POINT (-116.7634 37.02607)"
"flexuosus",-112.025809,34.771199,"POINT (-112.0258 34.7712)"
"flexuosus",-108.899069,38.015909,"POINT (-108.8991 38.01591)"
"flexuosus",-113.228737,37.45557,"POINT (-113.2287 37.45557)"
"flexuosus",-108.807994,38.129442,"POINT (-108.808 38.12944)"
"flexuosus",-113.626587,37.020747,"POINT (-113.6266 37.02075)"
"flexuosus",-112.057746,36.732517,"POINT (-112.0577 36.73252)"
"flexuosus",-116.332114,36.453439,"POINT (-116.3321 36.45344)"
"flexuosus",-115.465112,36.100327,"POINT (-115.4651 36.10033)"
"flexuosus",-111.925652,34.708893,"POINT (-111.9257 34.70889)"
"flexuosus",-115.23838,36.106331,"POINT (-115.2384 36.10633)"
"flexuosus",-108.975803,38.008204,"POINT (-108.9758 38.0082)"
"flexuosus",-113.228858,37.455208,"POINT (-113.2289 37.45521)"
"flexuosus",-116.733606,36.891739,"POINT (-116.7336 36.89174)"
"flexuosus",-116.666122,36.871681,"POINT (-116.6661 36.87168)"
"flexuosus",-111.894783,34.812763,"POINT (-111.8948 34.81276)"
"flexuosus",-116.666381,36.869728,"POINT (-116.6664 36.86973)"
"flexuosus",-110.088355,36.989222,"POINT (-110.0884 36.98922)"
"flexuosus",-116.669153,36.880414,"POINT (-116.6692 36.88041)"
"flexuosus",-108.504349,35.128984,"POINT (-108.5043 35.12898)"
"flexuosus",-115.670739,36.039617,"POINT (-115.6707 36.03962)"
"flexuosus",-115.37388,33.47138,"POINT (-115.3739 33.47138)"
"flexuosus",-115.477378,36.102745,"POINT (-115.4774 36.10274)"
"flexuosus",-113.9127,37.0844,"POINT (-113.9127 37.0844)"
"flexuosus",-114.183556,36.845689,"POINT (-114.1836 36.84569)"
"flexuosus",-114.183175,36.846367,"POINT (-114.1832 36.84637)"
"flexuosus",-115.350643,37.604682,"POINT (-115.3506 37.60468)"
"flexuosus",-114.183961,36.846142,"POINT (-114.184 36.84614)"
"flexuosus",-114.183281,36.846081,"POINT (-114.1833 36.84608)"
"flexuosus",-115.262603,35.859019,"POINT (-115.2626 35.85902)"
"flexuosus",-108.530394,36.791778,"POINT (-108.5304 36.79178)"
"flexuosus",-114.323745,34.348038,"POINT (-114.3237 34.34804)"
"flexuosus",-114.177339,36.822728,"POINT (-114.1773 36.82273)"
"flexuosus",-108.528106,36.796508,"POINT (-108.5281 36.79651)"
"flexuosus",-114.176497,36.825211,"POINT (-114.1765 36.82521)"
"flexuosus",-113.56392,37.231742,"POINT (-113.5639 37.23174)"
"flexuosus",-108.930127,32.669158,"POINT (-108.9301 32.66916)"
"flexuosus",-114.184075,36.846367,"POINT (-114.1841 36.84637)"
"flexuosus",-114.176889,36.823842,"POINT (-114.1769 36.82384)"
"flexuosus",-116.749725,37.00375,"POINT (-116.7497 37.00375)"
"flexuosus",-107.920683,36.034562,"POINT (-107.9207 36.03456)"
"flexuosus",-113.555226,37.876738,"POINT (-113.5552 37.87674)"
"flexuosus",-115.500528,35.815403,"POINT (-115.5005 35.8154)"
"flexuosus",-112.487475,37.139337,"POINT (-112.4875 37.13934)"
"flexuosus",-112.468227,34.885551,"POINT (-112.4682 34.88555)"
"flexuosus",-111.758238,34.795903,"POINT (-111.7582 34.7959)"
"flexuosus",-111.890361,34.549348,"POINT (-111.8904 34.54935)"
