species,longitude,latitude
flexuosus,-111.788002,34.874683
flexuosus,-108.162597,36.759803
flexuosus,-112.0513,36.754262
flexuosus,-113.229163,37.45532
flexuosus,-116.740342,36.999806
flexuosus,-112.0513,36.754262
flexuosus,-108.620956,37.1533
flexuosus,-111.825767,34.842955
flexuosus,-112.395551,35.025527
flexuosus,-113.6399,37.085786
flexuosus,-109.042236,36.864955
flexuosus,-113.9092,37.0965
flexuosus,-114.223192,36.455982
flexuosus,-113.101844,37.27128
flexuosus,-114.001336,37.017756
flexuosus,-112.526514,37.058594
flexuosus,-113.91296,37.08405
flexuosus,-112.517057,37.001233
flexuosus,-109.042328,36.864813
flexuosus,-109.042236,36.865017
flexuosus,-109.042283,36.864938
flexuosus,-111.773605,34.818275
flexuosus,-112.984955,37.089646
flexuosus,-113.101836,37.271255
flexuosus,-112.548728,37.030736
flexuosus,-113.102158,37.270988
flexuosus,-114.140664,36.52326
flexuosus,-113.10218,37.270992
flexuosus,-115.32472,33.62611
flexuosus,-113.819114,37.01576
flexuosus,-116.73365,36.893039
flexuosus,-115.450867,36.164125
flexuosus,-111.403013,34.220222
flexuosus,-114.134532,36.623194
flexuosus,-111.402703,34.2202
flexuosus,-111.388695,34.216817
flexuosus,-111.748505,34.886567
flexuosus,-115.491335,36.123796
flexuosus,-111.388787,34.216658
flexuosus,-111.757214,34.754511
flexuosus,-111.762844,34.797781
flexuosus,-111.834205,34.852917
flexuosus,-114.07968,36.538432
flexuosus,-115.424278,36.149933
flexuosus,-114.206069,36.58062
flexuosus,-111.402887,34.220195
flexuosus,-111.883777,34.808195
flexuosus,-115.491335,36.123796
flexuosus,-111.988175,36.038361
flexuosus,-111.875488,34.735017
flexuosus,-113.578865,37.193053
flexuosus,-115.476708,36.09527
flexuosus,-108.634927,32.626633
flexuosus,-111.388755,34.216717
flexuosus,-113.403345,37.2256
flexuosus,-115.462636,36.067137
flexuosus,-112.468227,34.885551
flexuosus,-115.447022,36.160162
flexuosus,-114.915755,36.540037
flexuosus,-108.741828,32.639039
flexuosus,-116.332053,36.453442
flexuosus,-111.395523,34.035914
flexuosus,-113.473053,37.017826
flexuosus,-115.479012,36.125358
flexuosus,-114.140975,36.522792
flexuosus,-113.54018,37.097316
flexuosus,-113.566235,37.006352
flexuosus,-115.482545,36.117097
flexuosus,-111.828772,34.807234
flexuosus,-114.522058,36.483369
flexuosus,-113.624222,37.066472
flexuosus,-116.063072,35.883572
flexuosus,-114.547941,36.251495
flexuosus,-113.599793,37.098633
flexuosus,-113.620017,37.068553
flexuosus,-114.140197,36.523152
flexuosus,-113.567324,37.111686
flexuosus,-113.353063,37.228275
flexuosus,-115.457731,36.153083
flexuosus,-113.493101,37.157051
flexuosus,-113.595297,37.12333
flexuosus,-115.058705,35.932052
flexuosus,-115.492465,36.155676
flexuosus,-113.640083,34.92663
flexuosus,-113.499809,37.155518
flexuosus,-114.533211,36.487501
flexuosus,-112.056048,34.767533
flexuosus,-114.627141,36.244447
flexuosus,-114.623884,36.242901
flexuosus,-108.16313,36.759125
flexuosus,-116.332078,36.453406
flexuosus,-116.320734,36.49667
flexuosus,-111.751647,34.871628
flexuosus,-109.776703,33.030655
flexuosus,-115.45183,36.165893
flexuosus,-113.49534,37.151709
flexuosus,-108.599083,33.024188
flexuosus,-115.462543,36.068143
flexuosus,-112.511729,37.006694
flexuosus,-114.997903,36.452358
flexuosus,-113.491028,37.119617
flexuosus,-111.088097,33.642845
flexuosus,-116.296042,36.412045
flexuosus,-110.949367,33.644015
